edad,ingreso_mensual,total_deuda_actual,historial_crediticio,antiguedad_laboral,numero_dependientes,tipo_vivienda,proposito_credito,monto_credito,etiqueta_real,etiqueta_binaria,score_mihac,dictamen,y_pred,y_real,dti_mihac,dti_clasificacion,n_reglas_activadas,umbral_aplicado
34,119875.0,23975.0,2,0,1,Propia,Consumo,50000.0,2,0,92,APROBADO,1,0,0.2,BAJO,4,85
26,3000.0,1050.0,1,5,1,Propia,Consumo,7969.5,2,0,86,APROBADO,1,0,0.35,MODERADO,3,80
28,15347.5,3069.5,2,2,1,Rentada,Consumo,27625.5,2,0,92,APROBADO,1,0,0.2,BAJO,2,85
34,13922.22,4872.78,2,2,1,Propia,Consumo,30072.0,2,0,100,APROBADO,1,0,0.35,MODERADO,3,85
34,38275.78,13396.52,1,5,1,Propia,Consumo,50000.0,2,0,100,APROBADO,1,0,0.35,MODERADO,3,85
29,62537.5,21888.12,1,2,1,Propia,Consumo,50000.0,2,0,85,APROBADO,1,0,0.35,MODERADO,2,85
37,90336.46,22584.12,2,2,1,Familiar,Consumo,50000.0,2,0,100,APROBADO,1,0,0.25,MODERADO,2,85
36,10004.17,3501.46,1,5,1,Propia,Consumo,14406.0,2,0,91,APROBADO,1,0,0.35,MODERADO,3,80
32,40731.25,10182.81,2,0,1,Propia,Consumo,9775.5,2,0,87,APROBADO,1,0,0.25,MODERADO,4,80
36,46385.94,16235.08,1,2,1,Propia,Negocio,44530.5,2,0,97,APROBADO,1,0,0.35,MODERADO,3,85
30,4284.0,1499.4,2,2,1,Propia,Consumo,9639.0,2,0,98,APROBADO,1,0,0.35,MODERADO,3,80
34,3214.75,1446.64,2,5,1,Familiar,Educacion,19288.5,2,0,81,APROBADO,1,0,0.45,ALTO,4,80
28,3907.17,1367.51,2,2,1,Propia,Consumo,35164.5,2,0,88,APROBADO,1,0,0.35,MODERADO,2,85
48,32550.0,6510.0,2,8,1,Familiar,Consumo,13020.0,2,0,100,APROBADO,1,0,0.2,BAJO,3,80
21,10036.25,2007.25,2,2,1,Rentada,Consumo,36130.5,2,0,87,APROBADO,1,0,0.2,BAJO,2,85
38,3424.75,1198.66,2,2,1,Propia,Negocio,41097.0,2,0,99,APROBADO,1,0,0.35,MODERADO,3,85
29,13970.83,2794.17,2,5,1,Propia,Consumo,15088.5,2,0,100,APROBADO,1,0,0.2,BAJO,4,80
40,17978.33,3595.67,2,2,1,Propia,Educacion,48541.5,2,0,100,APROBADO,1,0,0.2,BAJO,4,85
26,10106.25,1010.62,2,2,1,Propia,Consumo,14553.0,2,0,100,APROBADO,1,0,0.1,BAJO,3,80
38,3000.0,1350.0,2,5,1,Familiar,Consumo,9943.5,2,0,81,APROBADO,1,0,0.45,ALTO,4,80
37,6727.0,2354.45,2,2,1,Propia,Consumo,20181.0,2,0,99,APROBADO,1,0,0.35,MODERADO,3,85
41,3108.0,1398.6,2,8,1,Propia,Consumo,9324.0,2,0,91,APROBADO,1,0,0.45,ALTO,5,80
24,6799.48,1359.9,2,2,1,Propia,Consumo,50000.0,2,0,93,APROBADO,1,0,0.2,BAJO,2,85
29,3930.5,393.05,2,2,1,Rentada,Consumo,11791.5,2,0,85,APROBADO,1,0,0.1,BAJO,2,80
24,7972.22,1594.44,2,5,1,Propia,Consumo,50000.0,2,0,100,APROBADO,1,0,0.2,BAJO,3,85
35,8386.0,2935.1,1,8,1,Familiar,Educacion,12579.0,2,0,90,APROBADO,1,0,0.35,MODERADO,3,80
27,9818.9,3436.62,2,5,1,Propia,Consumo,50000.0,2,0,100,APROBADO,1,0,0.35,MODERADO,3,85
59,5614.0,1964.9,2,8,1,Rentada,Negocio,50000.0,2,0,100,APROBADO,1,0,0.35,MODERADO,3,85
23,126437.5,44253.12,2,2,1,Rentada,Consumo,50000.0,2,0,95,APROBADO,1,0,0.35,MODERADO,2,85
39,4950.0,1732.5,2,8,1,Propia,Negocio,12474.0,2,0,100,APROBADO,1,0,0.35,MODERADO,5,80
51,109535.42,27383.86,1,8,1,Familiar,Consumo,50000.0,2,0,94,APROBADO,1,0,0.25,MODERADO,2,85
24,22533.68,7886.79,1,5,1,Propia,Consumo,50000.0,2,0,97,APROBADO,1,0,0.35,MODERADO,3,85
68,32865.97,8216.49,2,2,1,Rentada,Consumo,50000.0,2,0,95,APROBADO,1,0,0.25,MODERADO,2,85
43,9860.76,3451.27,2,5,1,Propia,Consumo,42598.5,2,0,100,APROBADO,1,0,0.35,MODERADO,3,85
23,28568.75,9999.06,2,2,1,Propia,Negocio,50000.0,2,0,100,APROBADO,1,0,0.35,MODERADO,4,85
28,4828.7,1690.04,2,2,1,Propia,Consumo,7822.5,2,0,98,APROBADO,1,0,0.35,MODERADO,3,80
31,13201.56,2640.31,2,8,1,Propia,Consumo,38020.5,2,0,100,APROBADO,1,0,0.2,BAJO,4,85
35,5826.04,1165.21,2,8,1,Propia,Consumo,25168.5,2,0,100,APROBADO,1,0,0.2,BAJO,3,85
25,7373.33,1474.67,2,2,1,Rentada,Consumo,13272.0,2,0,87,APROBADO,1,0,0.2,BAJO,2,80
